date,diesel_price_lstm
2026-05-02,1734.0038
2026-05-03,1723.9977
2026-05-04,1729.6826
2026-05-05,1757.0156
2026-05-06,1733.6464
2026-05-07,1716.565
2026-05-08,1736.106
2026-05-09,1739.3628
2026-05-10,1732.6489
2026-05-11,1731.8429
2026-05-12,1711.3444
2026-05-13,1700.022
2026-05-14,1710.9427
2026-05-15,1689.2913
2026-05-16,1694.7046
2026-05-17,1713.2036
2026-05-18,1690.0125
2026-05-19,1704.5289
2026-05-20,1668.521
2026-05-21,1690.0844
2026-05-22,1659.6421
2026-05-23,1664.196
2026-05-24,1648.5269
2026-05-25,1655.3749
2026-05-26,1647.1682
2026-05-27,1648.1461
2026-05-28,1640.8861
2026-05-29,1653.966
2026-05-30,1631.9519
2026-05-31,1635.9011
