unitCode,unitName,routeName,xValue,yValue,mean_passenger_126_traffic,mean_freight_345_traffic,mean_total_traffic,std_freight_345_traffic,mean_freight_345_share,traffic_volatility,inflow_freight,outflow_freight,imbalance_ratio,abs_imbalance_ratio,mean_freight_345_share_scaled,mean_freight_345_traffic_scaled,traffic_volatility_scaled,abs_imbalance_ratio_scaled,vulnerability_score,vulnerability_grade,geometry,local_moran_i,local_p_value,lisa_quadrant,lisa_significant,lisa_cluster,cluster_color,mean_diesel_shock_index_30d,max_diesel_shock_index_30d,fuel_shock_impact_score_mean,fuel_shock_impact_score_max,fuel_shock_impact_grade,impact_grade,grade_color
221,생초,중부선-대전통영선A,127.829419,35.485025,1158.1045816733067,904.125498007968,2062.2300796812747,22611.16156649253,0.161834900168496,25.008875002763453,1617.9621513944223,190.28884462151396,-0.7895327086330697,0.7895327086330697,0.4470157126399934,0.0844098056588491,0.9999999999999998,1.0,0.5594276554896527,Very High,POINT (127.829419 35.485025),1.423840743279742,0.215,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.3335948602577325,0.5594276554896527,Very High,Very High,#f82216
712,동상주,서산영덕선,128.292624,36.377632,1625.9123505976097,515.5189243027888,2141.4312749003984,11126.359704047354,0.1108797302468733,21.582834653635945,184.1175298804781,846.9203187250996,0.6428501046213057,0.6428501046213057,0.3037113232886436,0.0480369366023337,0.8620288790361231,0.814215924928914,0.4407734387603007,Very High,POINT (128.292624 36.377632),1.5894754938519091,0.145,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.26283962236343605,0.4407734387603007,Very High,Very High,#f82216
101,서울,경부선,127.102077,37.365046,84877.59860557769,10686.261952191237,95563.86055776892,1894.6656702701591,0.1114162954160353,0.177299197675166,10140.719123505976,11231.804780876491,0.0510508568034301,0.0510508568034301,0.3052203388415746,1.0,0.0,0.0646595843911461,0.4044980185307015,Very High,POINT (127.102077 37.365046),-1.4717076403838765,0.152,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.24120806084956756,0.4044980185307015,Very High,Very High,#f82216
280,거창,광주대구선,127.928812,35.679406,4589.653386454183,1087.73406374502,5677.387450199203,18834.89089580357,0.1052521960288665,17.315713025439216,495.06175298804783,1680.406374501992,0.544868760215551,0.544868760215551,0.287884659264056,0.1015952337269677,0.6901863160956616,0.6901155002924334,0.3929043311749262,Very High,POINT (127.928812 35.679406),2.174895466472948,0.067,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.23429457619186592,0.3929043311749262,Very High,Very High,#f82216
522,북단양,중앙선,128.288832,37.021015,2364.5159362549803,1244.4213147410358,3608.937250996016,560.6811364523902,0.3584611755670254,0.4505557159868063,1319.366533864542,1169.4760956175298,-0.0602249561589212,0.0602249561589212,1.0,0.1162608756613401,0.0110043970006787,0.0762792415062697,0.3523349903997917,Very High,POINT (128.288832 37.021015),1.0417471009696415,0.177,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.21010248730633596,0.3523349903997917,Very High,Very High,#f82216
252,대동,중앙선,128.984174,35.256016,43190.3625498008,6742.460159362549,49932.82270916335,25276.893969102115,0.1195982834543346,3.748912618193633,5970.382470119522,7514.537848605578,0.1145097888596233,0.1145097888596233,0.328231052009876,0.6308673195419581,0.1438335387392773,0.1450348891281223,0.3455031970390301,Very High,POINT (128.984174 35.256016),-0.4697863585341288,0.406,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.20602858940527816,0.3455031970390301,Very High,Very High,#f82216
285,서평택,서해안선,126.863858,36.99411,9622.61155378486,3859.4183266932273,13482.029880478089,1909.71309624584,0.2643028049383795,0.4948188909809353,3921.440239043825,3797.3964143426297,-0.0160702746114951,0.0160702746114951,0.7351925658179327,0.3610198435605197,0.0127869328873081,0.0203541594107201,0.3354919412731413,Very High,POINT (126.863858 36.99411),2.5257735369496594,0.022,1,True,High-High,#d73027,0.5963145671905431,1.0,0.20005873175620836,0.3354919412731413,Very High,Very High,#f82216
275,옥곡,남해선A,127.712402,34.981606,2266.964143426295,828.7121513944223,3095.676294820717,445.2292651165288,0.2648624570797076,0.5372544186390525,1100.113545816733,557.3107569721116,-0.3274977855285945,0.3274977855285945,0.7367665102966884,0.0773512534698449,0.0144958670279043,0.4147995161537975,0.3300944057663004,Very High,POINT (127.712402 34.981606),2.173845720909044,0.034,1,True,High-High,#d73027,0.5963145671905431,1.0,0.19684010270655095,0.3300944057663004,Very High,Very High,#f82216
726,아산,당진청주선,126.972734,36.821694,4248.0796812749,1923.753984063745,6171.833665338645,983.9183747291618,0.2937470011971042,0.5114574851461666,2123.8107569721114,1723.6972111553785,-0.1039929089507411,0.1039929089507411,0.8180003078250357,0.1798451789105022,0.0134569908125817,0.1317145037990708,0.3283879449429919,Very High,POINT (126.972734 36.821694),3.25244376392868,0.01,1,True,High-High,#d73027,0.5963145671905431,1.0,0.1958225152592721,0.3283879449429919,Very High,Very High,#f82216
287,송악,서해안선,126.785895,36.934057,9157.761952191237,3298.4950199203186,12456.256972111554,1515.7284909903556,0.2569424702890248,0.4595212306935576,3312.1454183266933,3284.8446215139443,-0.0041383716888874,0.0041383716888874,0.714492639510754,0.3085184414522858,0.0113654499913195,0.0052415455922684,0.3102247234056295,Very High,POINT (126.785895 36.934057),3.2548779050124543,0.007,1,True,High-High,#d73027,0.5963145671905431,1.0,0.18499152166943392,0.3102247234056295,Very High,Very High,#f82216
643,청량,부산울산선,129.288158,35.479139,15492.277888446217,3983.5557768924314,19475.833665338647,1779.7469198121266,0.2000670995292248,0.4467734404865058,4106.354581673307,3860.7569721115538,-0.0308264303698721,0.0308264303698721,0.5545385016204962,0.372638883295372,0.0108520798247576,0.0390438927137577,0.2881324099824636,Very High,POINT (129.288158 35.479139),0.627459610745754,0.212,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.1718175533522609,0.2881324099824636,Very High,Very High,#f82216
